description,label,predicted_medical_specialty
The patient is a 61-year-old female who was treated with CyberKnife therapy to a right upper lobe stage IA non-small cell lung cancer. CyberKnife treatment was completed one month ago. She is now being seen for her first post-CyberKnife treatment visit.,Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
A 10 years of age carries a diagnosis of cystic fibrosis,Cardiovascular / Pulmonary,Pediatrics - Neonatal
"DDDR permanent pacemaker, insertion of a steroid-eluting screw in right atrial lead, insertion of a steroid-eluting screw in right ventricular apical lead, pulse generator insertion, model Sigma,",Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
"The patient is 14 months old, comes in with a chief complaint of difficulty breathing.",Cardiovascular / Pulmonary,Pediatrics - Neonatal
A 63-year-old man with a dilated cardiomyopathy presents with a chief complaint of heart failure. He has noted shortness of breath with exertion and occasional shortness of breath at rest.,Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
Direct laryngoscopy and bronchoscopy.,Cardiovascular / Pulmonary,ENT - Otolaryngology
"Patient had some cold symptoms, was treated as bronchitis with antibiotics.",Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
"Chest x-ray on admission, no acute finding, no interval change. CT angiography, negative for pulmonary arterial embolism. Chronic obstructive pulmonary disease exacerbation improving, on steroids and bronchodilators.",Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
A 3-year-old abrupt onset of cough and increased work of breathing.,Cardiovascular / Pulmonary,Pediatrics - Neonatal
The patient was admitted after undergoing a drawn out process with a small bowel obstruction.,Cardiovascular / Pulmonary,General Medicine
"Dobutamine stress test for chest pain, as the patient was unable to walk on a treadmill, and allergic to adenosine. Nondiagnostic dobutamine stress test. Normal nuclear myocardial perfusion scan.",Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
"Dobutamine Stress Echocardiogram. Chest discomfort, evaluation for coronary artery disease. Maximal dobutamine stress echocardiogram test achieving more than 85% of age-predicted heart rate. Negative EKG criteria for ischemia.",Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
"Insertion of a double lumen port through the left femoral vein, radiological guidance. Open exploration of the left subclavian and axillary vein. Metastatic glossal carcinoma, needing chemotherapy and a port.",Cardiovascular / Pulmonary,Oncology
"Dual chamber generator replacement. The patient is a pleasant patient who presented to the office, recently was found to be at ERI and she has been referred for generator replacement.",Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
"Dual Chamber ICD Implantation, fluoroscopy, defibrillation threshold testing, venography.",Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
Duplex ultrasound of legs,Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
Echocardiogram with color flow and conventional Doppler interrogation.,Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
Echocardiogram was performed including 2-D and M-mode imaging.,Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
"Echocardiogram for aortic stenosis. Transthoracic echocardiogram was performed of adequate technical quality. Concentric hypertrophy of the left ventricle with normal function. Doppler study as above, most pronounced being moderate aortic stenosis, valve area of 1.1 sq. cm",Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
"Echocardiographic Examination Report. Angina and coronary artery disease. Mild biatrial enlargement, normal thickening of the left ventricle with mildly dilated ventricle and EF of 40%, mild mitral regurgitation, diastolic dysfunction grade 2, mild pulmonary hypertension.",Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
"Echocardiographic examination. Borderline left ventricular hypertrophy with normal ejection fraction at 60%, mitral annular calcification with structurally normal mitral valve, no intracavitary thrombi is seen, interatrial septum was somewhat difficult to assess, but appeared to be intact on the views obtained.",Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
"Elevated BNP. Diastolic heart failure, not contributing to his present problem. Chest x-ray and CAT scan shows possible pneumonia. The patient denies any prior history of coronary artery disease but has a history of hypertension.",Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
"Abnormal cardiac enzyme profile. The patient is a 66-year-old gentleman, was brought into emergency room with obtundation. The patient was mechanically ventilated originally. His initial diagnosis was septic shock. His labs showed elevated cardiac enzyme profile.",Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
Endotracheal intubation. Respiratory failure. The patient is a 52-year-old male with metastatic osteogenic sarcoma. He was admitted two days ago with small bowel obstruction.,Cardiovascular / Pulmonary,Medical Specialty: Cardiovascular / Pulmonary
Endotracheal intubation. The patient was intubated secondary to respiratory distress and increased work of breathing and falling saturation on 15 liters nonrebreather. PCO2 was 29 and pO2 was 66 on the 15 liters.,Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
Endovascular Brachytherapy (EBT),Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
Patient complains of chest pain - possible esophageal reflux,Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
Patient in ER complaining of shortness of breath (COPD),Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
"Ivor-Lewis esophagogastrectomy, feeding jejunostomy, placement of two right-sided 28 French chest tubes, and right thoracotomy.",Cardiovascular / Pulmonary,Surgery
Exercise myocardial perfusion study. The exercise myocardial perfusion study shows possibility of mild ischemia in the inferolateral wall and normal LV systolic function with LV ejection fraction of 59%,Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
"Exercise stress test with nuclear scan for chest pain. Chest pain resolved after termination of exercise. Good exercise duration, tolerance and double product. Normal nuclear myocardial perfusion scan.",Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
A 44-year-old woman with a history of rheumatoid arthritis admitted to the hospital with chest pain. MI has been ruled out. She has been referred for an exercise echocardiogram.,Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
"Reduced exercise capacity for age, no chest pain with exercise, no significant ST segment changes with exercise, symptoms of left anterior chest pain were not provoked with exercise, and hypertensive response noted with exercise.",Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
No chest pain with exercise and no significant ECG changes with exercise. Poor exercise capacity 6 weeks following an aortic valve replacement and single-vessel bypass procedure.,Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
Chest pain. Achieved optimum METs for the exercise done and this is a normal exercise treadmill stress test.,Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
"Right common femoral artery cannulation, cnscious sedation using IV Versed and IV fentanyl, retrograde bilateral coronary angiography, abdominal aortogram with pelvic runoff, left external iliac angiogram with runoff to the patient's left foot, left external iliac angiogram with runoff to the patient's right leg, right common femoral artery angiogram runoff to the patient's right leg.",Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
"Diagnostic fiberoptic bronchoscopy with biopsies and bronchoalveolar lavage. Bilateral upper lobe cavitary lung masses. Airway changes including narrowing of upper lobe segmental bronchi, apical and posterior on the right, and anterior on the left. There are also changes of inflammation throughout.",Cardiovascular / Pulmonary,Pulmonary / Cardiovascular
"Fiberoptic bronchoscopy, diagnostic. Hemoptysis and history of lung cancer. Tumor occluding right middle lobe with friability.",Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
Emergent fiberoptic bronchoscopy with lavage. Status post multiple trauma/motor vehicle accident. Acute respiratory failure. Acute respiratory distress/ventilator asynchrony. Hypoxemia. Complete atelectasis of left lung. Clots partially obstructing the endotracheal tube and completely obstructing the entire left main stem and entire left bronchial system.,Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
"Fiberoptic flexible bronchoscopy with lavage, brushings, and endobronchial mucosal biopsies of the right bronchus intermedius/right lower lobe. Right hyoid mass, rule out carcinomatosis. Chronic obstructive pulmonary disease. Changes consistent with acute and chronic bronchitis.",Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
Left arm fistulogram. Percutaneous transluminal angioplasty of the proximal and distal cephalic vein. Ultrasound-guided access of left upper arm brachiocephalic fistula.,Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
Flexible bronchoscopy to evaluate the airway (chronic wheezing).,Cardiovascular / Pulmonary,Pulmonary / Cardiovascular
"Flexible fiberoptic bronchoscopy with right lower lobe bronchoalveolar lavage and right upper lobe endobronchial biopsy. Severe tracheobronchitis, mild venous engorgement with question varicosities associated pulmonary hypertension, right upper lobe submucosal hemorrhage without frank mass underneath it status post biopsy.",Cardiovascular / Pulmonary,Pulmonary / Respiratory
"Flexible fiberoptic bronchoscopy diagnostic with right middle and upper lobe lavage and lower lobe transbronchial biopsies. Mild tracheobronchitis with history of granulomatous disease and TB, rule out active TB/miliary TB.",Cardiovascular / Pulmonary,Pulmonary / Cardiovascular
"Fogarty thrombectomy, left forearm arteriovenous Gore-Tex bridge fistula and revision of distal anastomosis with 7 mm interposition Gore-Tex graft. Chronic renal failure and thrombosed left forearm arteriovenous Gore-Tex bridge fistula.",Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
A female for a complete physical and follow up on asthma with allergic rhinitis.,Cardiovascular / Pulmonary,Allergy / Immunology
H&P for a female with Angina pectoris.,Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
Left heart catheterization and bilateral selective coronary angiography. The patient is a 65-year-old male with known moderate mitral regurgitation with partial flail of the P2 and P3 gallops who underwent outpatient evaluation for increasingly severed decreased functional capacity and retrosternal chest pain that was aggravated by exertion and decreased with rest.,Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
"Right and left heart catheterization, coronary angiography, left ventriculography.",Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
"Chest pain and non-Q-wave MI with elevation of troponin I only. Left heart catheterization, left ventriculography, and left and right coronary arteriography.",Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
